Timestamp | Step | Train Loss | Validation Loss
2025-04-22 23:05:17 | 900 | 0.751658 | 0.780919
2025-04-22 23:05:20 | 910 | 0.740251 | 0.780919
2025-04-22 23:05:24 | 920 | 0.729144 | 0.780919
2025-04-22 23:05:28 | 930 | 0.561733 | 0.780919
2025-04-22 23:05:31 | 940 | 0.625841 | 0.780919
2025-04-22 23:05:35 | 950 | 0.633227 | 0.780919
2025-04-22 23:05:38 | 960 | 0.659705 | 0.780919
2025-04-22 23:05:42 | 970 | 0.845223 | 0.780919
2025-04-22 23:05:46 | 980 | 0.593904 | 0.780919
2025-04-22 23:05:49 | 990 | 0.696726 | 0.780919
2025-04-22 23:05:53 | 1000 | 0.507907 | 0.780919
2025-04-22 23:07:14 | 1010 | 0.731061 | 0.780919
2025-04-22 23:07:18 | 1020 | 0.651828 | 0.780919
2025-04-22 23:07:21 | 1030 | 0.598457 | 0.780919
2025-04-22 23:07:25 | 1040 | 0.557063 | 0.780919
2025-04-22 23:07:29 | 1050 | 0.482877 | 0.780919
2025-04-22 23:07:32 | 1060 | 0.582188 | 0.780919
2025-04-22 23:07:36 | 1070 | 0.541810 | 0.780919
2025-04-22 23:07:39 | 1080 | 0.440151 | 0.780919
2025-04-22 23:09:09 | 1090 | 0.356063 | 0.466873
2025-04-22 23:09:13 | 1100 | 0.470356 | 0.466873
2025-04-22 23:09:16 | 1110 | 0.530000 | 0.466873
2025-04-22 23:09:20 | 1120 | 0.451312 | 0.466873
2025-04-22 23:09:24 | 1130 | 0.434951 | 0.466873
2025-04-22 23:09:27 | 1140 | 0.228118 | 0.466873
2025-04-22 23:09:31 | 1150 | 0.419868 | 0.466873
2025-04-22 23:09:35 | 1160 | 0.463013 | 0.466873
2025-04-22 23:09:38 | 1170 | 0.428490 | 0.466873
2025-04-22 23:09:42 | 1180 | 0.328178 | 0.466873
2025-04-22 23:09:46 | 1190 | 0.438054 | 0.466873
2025-04-22 23:09:49 | 1200 | 0.536197 | 0.466873
2025-04-22 23:09:53 | 1210 | 0.408060 | 0.466873
2025-04-22 23:09:56 | 1220 | 0.466548 | 0.466873
2025-04-22 23:10:00 | 1230 | 0.470351 | 0.466873
2025-04-22 23:10:04 | 1240 | 0.247014 | 0.466873
2025-04-22 23:10:07 | 1250 | 0.557981 | 0.466873
2025-04-22 23:10:11 | 1260 | 0.388526 | 0.466873
2025-04-22 23:10:14 | 1270 | 0.337705 | 0.466873
2025-04-22 23:10:18 | 1280 | 0.484558 | 0.466873
2025-04-22 23:10:22 | 1290 | 0.316646 | 0.466873
2025-04-22 23:10:25 | 1300 | 0.404624 | 0.466873
2025-04-22 23:10:29 | 1310 | 0.406199 | 0.466873
2025-04-22 23:10:32 | 1320 | 0.313646 | 0.466873
2025-04-22 23:10:36 | 1330 | 0.369187 | 0.466873
2025-04-22 23:10:39 | 1340 | 0.424677 | 0.466873
2025-04-22 23:10:43 | 1350 | 0.471474 | 0.466873
2025-04-22 23:10:47 | 1360 | 0.372779 | 0.466873
2025-04-22 23:10:50 | 1370 | 0.394982 | 0.466873
2025-04-22 23:10:54 | 1380 | 0.377190 | 0.466873
2025-04-22 23:10:58 | 1390 | 0.401212 | 0.466873
2025-04-22 23:11:01 | 1400 | 0.304534 | 0.466873
2025-04-22 23:11:05 | 1410 | 0.392690 | 0.466873
2025-04-22 23:11:08 | 1420 | 0.359542 | 0.466873
2025-04-22 23:11:12 | 1430 | 0.302479 | 0.466873
2025-04-22 23:11:15 | 1440 | 0.343851 | 0.466873
2025-04-22 23:12:17 | 1450 | 0.382785 | 0.270619
2025-04-22 23:12:20 | 1460 | 0.287736 | 0.270619
2025-04-22 23:12:24 | 1470 | 0.331846 | 0.270619
2025-04-22 23:12:27 | 1480 | 0.288946 | 0.270619
2025-04-22 23:12:31 | 1490 | 0.264739 | 0.270619
2025-04-22 23:12:35 | 1500 | 0.221925 | 0.270619
2025-04-22 23:14:31 | 1510 | 0.282388 | 0.270619
2025-04-22 23:14:35 | 1520 | 0.182324 | 0.270619
2025-04-22 23:14:39 | 1530 | 0.330810 | 0.270619
2025-04-22 23:14:42 | 1540 | 0.231109 | 0.270619
2025-04-22 23:14:46 | 1550 | 0.340720 | 0.270619
